Name,Type 1,Type 2,Total,HP,Attack,Defense,SP. Atk.,SP. Def,Speed,Image,Index
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,images/1.png,1
Ivysaur,Grass,Poison,405,60,62,63,80,80,60,images/2.png,2
Venusaur,Grass,Poison,525,80,82,83,100,100,80,images/3.png,3
Venusaur Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,images/4.png,3
Charmander,Fire,,309,39,52,43,60,50,65,images/5.png,4
Charmeleon,Fire,,405,58,64,58,80,65,80,images/6.png,5
Charizard,Fire,Flying,534,78,84,78,109,85,100,images/7.png,6
Charizard Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,images/8.png,6
Charizard Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,images/9.png,6
Squirtle,Water,,314,44,48,65,50,64,43,images/10.png,7
Wartortle,Water,,405,59,63,80,65,80,58,images/11.png,8
Blastoise,Water,,530,79,83,100,85,105,78,images/12.png,9
Blastoise Mega Blastoise,Water,,630,79,103,120,135,115,78,images/13.png,9
Caterpie,Bug,,195,45,30,35,20,20,45,images/14.png,10
Metapod,Bug,,205,50,20,55,25,25,30,images/15.png,11
Butterfree,Bug,Flying,395,60,45,50,90,80,70,images/16.png,12
Weedle,Bug,Poison,195,40,35,30,20,20,50,images/17.png,13
Kakuna,Bug,Poison,205,45,25,50,25,25,35,images/18.png,14
Beedrill,Bug,Poison,395,65,90,40,45,80,75,images/19.png,15
Beedrill Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,images/20.png,15
Pidgey,Normal,Flying,251,40,45,40,35,35,56,images/21.png,16
Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,images/22.png,17
Pidgeot,Normal,Flying,479,83,80,75,70,70,101,images/23.png,18
Pidgeot Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,images/24.png,18
Rattata,Normal,,253,30,56,35,25,35,72,images/25.png,19
Rattata Alolan Rattata,Dark,Normal,253,30,56,35,25,35,72,images/26.png,19
Raticate,Normal,,413,55,81,60,50,70,97,images/27.png,20
Raticate Alolan Raticate,Dark,Normal,413,75,71,70,40,80,77,images/28.png,20
Spearow,Normal,Flying,262,40,60,30,31,31,70,images/29.png,21
Fearow,Normal,Flying,442,65,90,65,61,61,100,images/30.png,22
Ekans,Poison,,288,35,60,44,40,54,55,images/31.png,23
Arbok,Poison,,448,60,95,69,65,79,80,images/32.png,24
Pikachu,Electric,,320,35,55,40,50,50,90,images/33.png,25
Pikachu Partner Pikachu,Electric,,430,45,80,50,75,60,120,images/34.png,25
Raichu,Electric,,485,60,90,55,90,80,110,images/35.png,26
Raichu Alolan Raichu,Electric,Psychic,485,60,85,50,95,85,110,images/36.png,26
Sandshrew,Ground,,300,50,75,85,20,30,40,images/37.png,27
Sandshrew Alolan Sandshrew,Ice,Steel,300,50,75,90,10,35,40,images/38.png,27
Sandslash,Ground,,450,75,100,110,45,55,65,images/39.png,28
Sandslash Alolan Sandslash,Ice,Steel,450,75,100,120,25,65,65,images/40.png,28
Nidorina,Poison,,365,70,62,67,55,55,56,images/42.png,30
Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,images/43.png,31
Nidorino,Poison,,365,61,72,57,55,55,65,images/45.png,33
Nidoking,Poison,Ground,505,81,102,77,85,75,85,images/46.png,34
Clefairy,Fairy,,323,70,45,48,60,65,35,images/47.png,35
Clefable,Fairy,,483,95,70,73,95,90,60,images/48.png,36
Vulpix,Fire,,299,38,41,40,50,65,65,images/49.png,37
Vulpix Alolan Vulpix,Ice,,299,38,41,40,50,65,65,images/50.png,37
Ninetales,Fire,,505,73,76,75,81,100,100,images/51.png,38
Ninetales Alolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109,images/52.png,38
Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,images/53.png,39
Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,images/54.png,40
Zubat,Poison,Flying,245,40,45,35,30,40,55,images/55.png,41
Golbat,Poison,Flying,455,75,80,70,65,75,90,images/56.png,42
Oddish,Grass,Poison,320,45,50,55,75,65,30,images/57.png,43
Gloom,Grass,Poison,395,60,65,70,85,75,40,images/58.png,44
Vileplume,Grass,Poison,490,75,80,85,110,90,50,images/59.png,45
Paras,Bug,Grass,285,35,70,55,45,55,25,images/60.png,46
Parasect,Bug,Grass,405,60,95,80,60,80,30,images/61.png,47
Venonat,Bug,Poison,305,60,55,50,40,55,45,images/62.png,48
Venomoth,Bug,Poison,450,70,65,60,90,75,90,images/63.png,49
Diglett,Ground,,265,10,55,25,35,45,95,images/64.png,50
